,name
1163,Kpelle
1164,Kapampangan
1165,Kapingamarangi
1166,Kposo
1167,Karen (Pwo)
1168,Krenak
1169,Kara (in Papua New Guinea)
1170,Kiribati
1171,Karachay-Balkar
1172,Kurdish (Central)
1173,Kresh
1174,Korafe
1175,Karanga
1176,Krahô
1177,Kipea
1178,Karadjeri
1179,Karok
1180,Karelian
1181,Karaim
1182,Korana
1183,Krongo
1184,Kerek
1185,Kairiru
1186,Karata
1187,Korowai
1188,Koryak
1189,Kryz
1190,Keresan (Santa Ana)
1191,Koyraboro Senni
1192,Karen (Sgaw)
1193,Kashaya
1194,Ksingmul
1195,Kenyan Sign Language
1196,Kasem
1197,Kasong
1198,Kosop
1199,Kisar
1200,Kisi (Southern)
1201,Kashubian
1202,Koita
1203,Kituba
1204,Katcha
1205,Kete
1206,Kutchin
1207,"Kati (in West Papua, Indonesia)"
1208,Kotoko
1209,Katla
1210,Kathlamet
1211,Ketengban
1212,Kato
1213,Ketapang
1214,Kott
1215,Katu
1216,Khanty
1217,Kati (in Afghanistan)
1218,Kualan
1219,Kunming
1220,Kui (in India)
1221,Kukú
1222,Kullo
1223,Kumauni
1224,Kuna
1225,Kuot
1226,Kumyk
1227,Kurukh
1228,Kusunda
1229,Kutenai
1230,Kuuku Ya'u
1231,Kuvi
1232,Kutai
1233,Kulamanen
1234,Kwaio
1235,Kwerba
1236,Kanjobal (Western)
1237,Kwakw'ala
1238,Kwami
1239,Kwangali
1240,Kwoma
1241,Kwamera
1242,Kawaiisu
1243,Kwomtari
1244,Iwoyo
1245,Kwaza
1246,Kxoe
1247,Kuku-Yalanji
1248,Kenyang
1249,Kyaka
1250,Kayah Li (Eastern)
1251,Krymchak
1252,Koyukon
1253,Kanyok
1254,Kayapó
1255,Kyuquot
1256,Karkar-Yuri
1257,Kaytej
1258,Kayabí
1259,Komi-Zyrian
1260,Laal
1261,Labu
1262,Lacandón
1263,Ladakhi
1264,Lafofa
1265,Lagwan
1266,Lahu
1267,Lai
1268,Lak
1269,Lalo
1270,Lamé
1271,Lango
1272,Lao
1273,Laragia
1274,Latvian
1275,Lau
1276,Lavukaleve
1277,Laz
1278,Lunda
1279,Lachi
1280,Lesser Antillean French Creole
